Employee,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Pay, Hourly Rate
10013,Farala,Martha,1/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",329034366,"4556563750","2.3411","210835851000","6.3111","Regular","Payroll Rank and File","Salcedo, Anthony",24000.00,1500.00,500.00,500.00,12000.00,142.86
10014,Martinez,Leila,7/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino",877110749,"2720909964","5.1611","275792513000","1.0111","Regular","Payroll Rank and File","Salcedo, Anthony",24000.00,1500.00,500.00,500.00,12000.00,142.86
10015,Romualdez,Fredrick,3/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023079009,"2687683741","3.0811","598065761000","2.2311","Regular","Account Manager","Lim, Antonio",53500.00,1500.00,1000.00,1000.00,26750.00,318.45
10016,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",783776744,"4929593126","8.2411","103100522000","6.3111","Regular","Account Team Leader","Romualdez, Fredrick",42975.00,1500.00,800.00,800.00,21488.00,255.80
10017,De Leon,Selena,2/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975432139,"2720902088","5.8711","482259498000","7.1911","Regular","Account Team Leader","Romualdez, Fredrick",41850.00,1500.00,800.00,800.00,20925.00,249.11
10018,San Jose,Allison,6/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179075129,"4532513830","7.4511","121203336000","1.1511","Regular","Account Rank and File","Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93
10019,Rosario,Cydney,10/6/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868819912,"4916299002","5.7911","122244511000","2.6511","Regular","Account Rank and File","Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93
10020,Bautista,Mark,2/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683725348,"4916473425","4.0011","273970941000","2.6011","Regular","Account Rank and File","Mata, Christian",23250.00,1500.00,500.00,500.00,11625.00,138.39
10021,Lazaro,Darlene,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740721558,"4556171682","6.0611","354650951000","1.0511","Probationary","Account Rank and File","Mata, Christian",23250.00,1500.00,500.00,500.00,11625.00,138.39
10022,Delos Santos,Kolby,2/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739443033,"5201095706","3.5711","187500345000","1.1311","Probationary","Account Rank and File","Mata, Christian",24000.00,1500.00,500.00,500.00,12000.00,142.86
10023,Santos,Vella,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955879269,"5298835243","5.4911","101558994000","3.6011","Probationary","Account Rank and File","Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93
10024,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882550989,"4558663316","9.5411","560735732000","9.1311","Probationary","Account Rank and File","Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93
10025,Tolentino,Jacklyn,5/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675757366,"4716927930","7.5411","841177857000","2.1111","Probationary","Account Rank and File","De Leon, Selena",24000.00,1500.00,500.00,500.00,12000.00,142.86
10026,Gutierrez,Percival,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512899876,"4095046578","7.9811","502995671000","2.1111","Probationary","Account Rank and File","De Leon, Selena",24750.00,1500.00,500.00,500.00,12375.00,147.32
10027,Manalaysay,Garfield,8/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948628136,"4532981664","8.1111","336676445000","2.1111","Probationary","Account Rank and File","De Leon, Selena",24750.00,1500.00,500.00,500.00,12375.00,147.32
10028,Villegas,Lizeth,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332372215,"4024007194","9.3411","210395397000","1.2211","Probationary","Account Rank and File","De Leon, Selena",24000.00,1500.00,500.00,500.00,12000.00,142.86
10029,Ramos,Carol,8/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250700389,"6011522064","3.5211","395032717000","2.1211","Probationary","Account Rank and File","De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93
10030,Maceda,Emelia,4/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973358041,"5413310050","4.6511","215973013000","5.1511","Probationary","Account Rank and File","De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93
10031,Aguilar,Delia,1/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",529705439,"5218592531","1.3611","599312588000","1.1011","Probationary","Account Rank and File","De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93
10032,Castro,John Rafael,2/9/1992,"Hi-way, Yati, Liloan Cebu",332424955,"2671451334","6.0211","404768309000","6.9811","Regular","Sales & Marketing","Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51
10033,Martinez,Carlos Ian,11/16/1990,"Bulala, Camalaniugan",078854208,"1150629727","3.8111","256436296000","9.9311","Regular","Supply Chain and Logistics","Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51
10034,Santos,Beatriz,8/7/1990,"Agapita Building, Metro Manila",526639511,"2029875015","9.1811","911529713000","8.7411","Regular","Customer Service and Relations","Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51
